,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Harper,LR,4.375,-7.7169,75.52,87,57,3.33,broken clouds
305,Nishihara,JP,26.1842,127.7558,83.48,71,75,21.85,mist
306,Constitucion,CL,-35.3333,-72.4167,53.29,83,100,10.2,overcast clouds
307,Nakhon Sawan,TH,15.7,100.0833,83.08,70,22,6.2,few clouds
308,Coffs Harbour,AU,-30.3,153.1333,69.76,88,100,13.8,light rain
309,Khilok,RU,51.3674,110.4676,37.53,51,59,4.92,broken clouds
310,Chokwe,MZ,-24.5333,32.9833,70.93,81,0,4.09,clear sky
311,Namatanai,PG,-3.6667,152.4333,86.09,63,100,4.07,overcast clouds
312,Anadyr,RU,64.75,177.4833,34.3,93,40,6.71,scattered clouds
313,Krasnyy Yar,RU,46.5331,48.3456,47.97,78,100,15.23,light rain
314,Bubaque,GW,11.2833,-15.8333,80.94,73,52,5.01,light rain
315,Mecca,SA,21.4267,39.8261,80.4,44,0,3.33,clear sky
316,Sinnamary,GF,5.3833,-52.95,78.76,84,92,7.9,overcast clouds
317,General Roca,AR,-39.0333,-67.5833,57.61,40,100,25.41,light rain
318,Rocha,UY,-34.4833,-54.3333,57.31,96,100,3.44,light rain
319,Alice Springs,AU,-23.7,133.8833,89.15,40,0,3.44,clear sky
320,Mount Gambier,AU,-37.8333,140.7667,66.11,88,100,14.97,light intensity shower rain
321,Lewistown,US,40.5992,-77.5714,43.81,84,75,0.0,broken clouds
322,Great Falls,US,47.5002,-111.3008,49.68,62,100,4.61,overcast clouds
323,Broken Hill,AU,-31.95,141.4333,73.99,51,59,12.66,broken clouds
324,Eureka,US,40.8021,-124.1637,59.67,79,100,1.01,overcast clouds
325,Dalianwan,CN,39.0286,121.695,68.04,52,0,8.95,clear sky
326,Kismayo,SO,-0.3582,42.5454,77.49,79,97,12.95,light rain
327,Coahuayana,MX,18.7333,-103.6833,75.43,93,100,3.89,overcast clouds
328,Mercedes,AR,-34.6515,-59.4307,62.04,81,93,1.9,overcast clouds
329,Vilhena,BR,-12.7406,-60.1458,69.67,95,100,2.57,overcast clouds
330,Champerico,GT,14.3,-91.9167,78.94,85,90,3.06,moderate rain
331,Souillac,MU,-20.5167,57.5167,73.78,78,40,8.05,scattered clouds
332,Fraserburgh,GB,57.6874,-2.0184,52.12,97,100,18.95,overcast clouds
333,Nanortalik,GL,60.1432,-45.2371,38.12,63,100,1.97,overcast clouds
334,Hamilton,US,39.1834,-84.5333,47.77,50,0,9.22,clear sky
335,Khatanga,RU,71.9667,102.5,10.24,92,46,3.83,scattered clouds
336,Zaraza,VE,9.3503,-65.3245,74.89,94,61,4.41,broken clouds
337,Pacatuba,BR,-3.9842,-38.6203,78.46,83,91,8.43,overcast clouds
338,Brae,GB,60.3964,-1.353,49.21,79,100,18.84,overcast clouds
339,Maur,IN,30.0833,75.25,77.5,45,0,3.76,clear sky
340,Thomaston,US,32.8882,-84.3266,44.91,73,0,0.0,clear sky
341,Gat,IL,31.61,34.7642,70.48,100,67,5.06,broken clouds
342,Yumen,CN,40.2833,97.2,50.07,31,1,10.76,clear sky
343,Port Hardy,CA,50.6996,-127.4199,48.38,87,75,8.05,broken clouds
344,Gamboma,CG,-1.8764,15.8644,69.69,96,100,2.19,overcast clouds
345,Yar-Sale,RU,66.8333,70.8333,32.07,97,100,14.36,light snow
